complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Liwagao Island Fish Sanctuary	null Caluya Antique	Resolution SB Resolution (not specified)	null	1994	0	0
Sta. Cruz Island Mangrove Swamp Forest Reserve	null null Marinduque	Proclamation No. 2152, s.1981	null	0	0	0
Divilacan Marine Reserve	null Divilacan Isabela	NA	null	0	0	0
Monte-Alto Timber Resource Corp. parcel 1 & 2	null San Mariano Isabela	Proclamation PP# 120	null	1987	0	0
Mabay Island and Basiao Marine Protected Area	null Ivisan Capiz	NA	null	0	0	0
San Andres to Arena Point, Bondoc Peninsula	null San Andres Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Lucsuhin Island Mangrove Swamp Forest Reserve	null Caramoan Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Bantayan Island Wilderness Area	null Bantayan Cebu	Proclamation PD# 151 & PP 2151	null	0	0	0
Haponan Island Mangrove Swamp Forest Reserve	null Caramoan Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Palsabangan River up to Mazintuto River (Tayabas Bay, Quezon)	null null Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Banacon Island Wilderness Area	null Jetafe Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Basin Island Mangrove Swamp Forest Reserve	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Cabcab San Andres Fish Sanctuary	null null Camarines Sur	Admin Order BFAR AO	null	0	0	0
Hirapsan Island Marine Sanctuary	null Mondragon Northern Samar	NA	null	2003	0	0
Panata Cay Marine Turtle Sanctuary	null Balabac Palawan	Admin Order MNR AO# 8	null	1982	0	0
Fuga Island Tourist Zone Marine Reserve	null Claveria Cagayan	Proclamation PP# 1801 and 1744	null	1978	0	0
Carigara Artificial Reef Project, Naugisan Artificial Reef Complex & Guindapunan Complex	null Capoocan Leyte	Municipal Ordinance BR. & MO	null	0	0	0
Sacol Island TZMR/Mangrove Swamp & Forest Reserve	null null Zamboanga Del Sur	Proclamation PP# 1801, PP# 2152	null	1978	0	0
Tagasilay to Tigbao River Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Libago Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Sibale Island Mangrove Swamp Forest Reserve	null null Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Cueva Point up to Kimartines Point (Burias Is.)	null Claveria Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Maniguin Marine Sanctuary	null Culasi Antique	NA	null	0	0	0
Balang-Balang Marine Sanctuary	null Balamban Cebu	NA	null	0	0	0
Shores of Gilbert Is. & Brgy. Jamo-og Shorelines Fish and other Marine Products including Mangroves	null Rosario Northern Samar	NA	null	0	0	0
Portion of Caragay Island Mangrove Swamp Forest Reserve	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Tanglar Point to Bicol River	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Mangroves along the banks of Sta. Rosa River in San Jacinto	null San Jacinto Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Aloran Marine Sanctuary	null null Misamis Occidental	NA	null	2005	0	0
Banks of Balono and Pasil River, Toos Cove, Daraga, Diutag and Lomocab	null Mandaon Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Gaus I Marine Sanctuary	Gaus Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006	null	1993	0	0
Caridad Fish Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Fisheries Ord. No. 02-2003	null	0	0	0
Pambaron Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	1978	0	0
Camiguin Island Tourist Zone and Marine Reserve	null null Camiguin	Proclamation PP# 1801	null	1978	0	0
Maasim Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Sulu-an	null Guiuan Eastern Samar	NA	null	0	0	0
Nueve Estrella Fish Sanctuary	Nueva Estrella Bien Unido Bohol	Municipal Ordinance MO# 02-s-2002	null	2002	0	0
Dampalit Island Wilderness Area	null null Masbate	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Buguey Wetlands	null Buguey Cagayan	NA	null	0	0	0
Sugbuhan Island Wilderness Area	null San Benito Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Mati Fish Sanctuary (Dahican)	Dahican Mati Davao Oriental	Municipal Ordinance MO# 95-011	null	1995	0	0
Panglao Island Mangrove Swamp Forest Reserve/TZMR	null Dauis Bohol   / null Panglao Bohol	Proclamation No. 2152, s.1981	null	1978	0	0
Manila Bay	null null Metropolitan Manila	NA	null	0	0	0
Namuac Reef Marine Protected Area	null Sanchez-Mira Cagayan	Resolution With Brgy.Resolution No.02-2006	null	0	0	0
Bating Peninsula Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Apali Point to Calunangan Point	null null Leyte	Proclamation No. 2152, s.1981	null	0	0	0
Talima Marine Sanctuary	null Lapu-Lapu City Cebu	Municipal Ordinance Mun Ord  425-2003	null	0	0	0
Condona Island Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Solitario Island Tourist Zone and Marine Reserve	null null Palawan	Proclamation PP# 1801	null	1978	0	0
Baliangao Wetland Park	Misom Baliangao Misamis Occidental	Municipal Ordinance No. 01, Series of 1991	null	1991	0	0
Bancauan Island Marine Turtle Sanctuary	null null Tawi Tawi	Admin Order MNR AO# 8	null	1982	0	0
Tambo MPA	null Island Garden City of Samal Davao Del Norte	NA	Davao Gulf Marine Protected Area Network Plan	0	0	0
Sebaca & Damasing Close Season & Mangrove Rehabilitation	null Rizal Zamboanga Del Norte	Municipal Ordinance MO# 8	null	0	0	0
Balatan	null Balatan Camarines Sur	NA	null	0	0	0
Baras Fish Sanctuary	null Tarangnan Samar	Municipal Ordinance Mun. res. No. 21-1996	null	1996	0	0
Diora-Zinungan Marine Protected Area	null Santa Ana Cagayan	NA	null	0	0	0
Panciscan Point in Bitos Bay up to Bano Sanlay	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Quinabucasan Point to San Vicente Bay	null Siruma Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Basiao Marine Sanctuary	Basiao Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006; Mun Ord  10-058-2005	null	2002	0	0
Malubog Pt. to Sambalawan MSFR	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Sukol River to Soquicay Island MSFR	null Bulalacao Oriental Mindoro	Proclamation No. 2152, s.1981	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	0	0	0
Malinao Creek up to Salomague Point	null Torrijos Marinduque	Proclamation No. 2152, s.1981	null	0	0	0
Sitio Tulan Marine Sanctuary	null Glan Sarangani	NA	null	0	0	0
Brgy Alinsolong (proposed)	null Concepcion Iloilo	NA	null	0	0	0
Sigaboy Island	null Governor Generoso Davao Oriental	Proclamation PD 704, FAO 155	null	0	0	0
Mangrove areas of Port Tambang including banks of Tambang River and Olas River	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Cabalete Island Mangrove Swamp Forest Reserve	null Mauban Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas east of Inabanga River to Pampang	null Inabanga Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Abanay Island Wilderness Area	null Dapa Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Vitali Island Mangrove Swamp Forest Reserve	null null Zamboanga Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Lamion	null null Tawi Tawi	NA	null	0	0	0
Nagubat Island Fish Sanctuary	null Caluya Antique	NA	null	1994	0	0
Sogod Tourist Zone and Marine Reserve	null Sogod Cebu	Proclamation PP# 1801	null	1978	0	0
Palasan Island Mangrove Swamp Forest Reserve	null Burdeos Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Arboles Point Marine Sanctuary	null Bais City Negros Oriental	NA	null	0	0	0
Naungan Marine Protected Area	null Ormoc City Leyte	Barangay Ordinance Brgy. Ord. No. 03-2001	null	2004	0	0
Baylimango Reserve	null Dapitan City Zamboanga Del Norte	NA	null	0	0	0
Pandasan Island	null null Davao Del Sur	Proclamation PP# 2151	null	0	0	0
Bambanon Island	null null Bohol	Proclamation PP# 2151	null	0	0	0
Mingay Dakkel	null Santa Praxedes Cagayan	Municipal Ordinance MO# 99-041	null	1999	0	0
Comayan Reef FS	null Cajidiocan Romblon	NA	null	0	0	0
Ladol Community based Marine Protected Area	null null Sarangani	NA	null	0	0	0
Busuanga Island Tourist Zone and Marine Reserve	null Busuanga Palawan	Proclamation PP# 1801	null	0	0	0
Mercedes Fish Sanctuary & Fishery Reserve	null Mercedes Camarines Norte	NA	null	1995	0	0
Campamanog Marine Sanctuary	Campamanog Pres. Carlos P. Garcia Bohol	Municipal Ordinance MO# C-004	null	1993	0	0
Cabgan Wilderness Area	null Tubigon Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Islands of Guinauayan, Naro, Chico & Pobre	null Cawayan Masbate	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Katakian Grande Island	null Patnanungan Quezon	Municipal Ordinance MO	null	0	0	0
Portion of Butan Bay Mangrove Swamp Forest Reserve	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Cabalao Island Mangrove Swamp Forest Reserve	null Burdeos Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Poong-Garcia Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006 (Fisheries and Coastal Management Code)	null	1986	0	0
Nasipang Close Season & Mangrove Rehabilitation	null Rizal Zamboanga Del Norte	Municipal Ordinance MO# 9	null	0	0	0
Lahay Island Mangrove Swamp Forest Reserve	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Caye Island Mangrove Swamp Forest Reserve	null null Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Islands of Lamagon, Cepaya & Corbeto	null null Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Malaquing River up to Mabung River (Burias Is.)	null Claveria Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Punta Marine Reserve	null Ormoc City Leyte	NA	null	2005	0	0
Caragay Pass to Gimbal Pt. In Caragay Island	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Basot Island Mangrove Swamp Forest Reserve	null Caramoan Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Tampucon II Marine Reserve	null Ayungon Negros Oriental	NA	null	0	0	0
Mangroves along the banks of Pasil River, Magdalena	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Malazimbo Point to the Mun. of Juban in Sorsogon Bay	null Juban Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Minabel (Camiguin Island)	null Calayan Cagayan	Municipal Ordinance MO	null	0	0	0
Silo Island Wilderness Area	null null Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Linao Marine Reserve Area	null Ormoc City Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	2006	0	0
Banoon Islet Mangrove Swamp Forest Reserve	null Pres. Carlos P. Garcia Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Buyong Beach (Maribago, Mactan) TZMR	null Cordoba Cebu	Proclamation PP# 1801	null	1978	0	0
Masopelid Island Marine Swamp Forest Reserve	null Masapelid Island Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Bacong River up to Sandoval Point (Tayabas Bay, Quezon)	null Catanauan Quezon	Proclamation PP#  2152	null	0	0	0
Paratong Fish Sanctuary	null Sinait Ilocos Sur	NA	null	0	0	0
Cabangtalan Fish Sanctuary	Cabangtalan Sinait Ilocos Sur	0	null	0	0	0
Dadalaquiten Sur Fish Sanctuary	Dadalaquiten Sur Sinait Ilocos Sur	NA	null	0	0	0
Katipunan Fish Sanctuary	Katipunan Sinait Ilocos Sur	NA	null	0	0	0
Marine Turtle Sanctuary (Pawikan Conservation Center)	Nagbalayong Morong Bataan	NA	null	2001	0	0
Bongabong Marine Protected Area	null Bongabong Oriental Mindoro	NA	null	0	0	0
Matampay Bucana Fish Sanctuary	Matampay Bucana Lala Lanao Del Norte	NA	null	2007	0	0
Raw-an Fish Sanctuary	Raw-An Lala Lanao Del Norte	2011	null	2011	0	0
Brgy. Calutcot Fish Sanctuary	null Burdeos Quezon	Municipal Resolution No. 035 Series of 2007	null	2000	0	0
Angol Point Reef	null Malay Aklan	MUNICIPAL ORDINANCE NO. 2001-139	null	2001	0	0
Paraoir Fish Sanctuary	null null La Union	Municipal Ordinance	null	2004	0	0
Bagac Marine Protected Area	Pag-Asa (Wawa-Sibacan) Bagac Bataan   / Saysain Bagac Bataan	(in process)	null	2012	0	0
Taritien Marine Protected Area	null Narra Palawan	N/A	null	2006	0	0
Barosbos Marine Protected Area	Barosbos Carles Iloilo	N/A	null	2012	0	0
Carmencita Shoal	null Carles Iloilo	N/A	null	2012	0	0
Bayabas Marine Fish Sanctuary	null Cagayan de Oro City Misamis Oriental	N/A	null	2015	0	0
Cugman Marine Fish Sanctuary	Cugman Cagayan de Oro City Misamis Oriental	N/A	null	2015	0	0
Gusa Marine Fish Sanctuary	Gusa Cagayan de Oro City Misamis Oriental	Brgy Ordinance	null	2004	0	0
Lapasan Marine Fish Sanctuary	Lapasan Cagayan de Oro City Misamis Oriental	N/A	null	2015	0	0
Puerto Marine Fish Sanctuary	Puerto Cagayan de Oro City Misamis Oriental	N/A	null	2015	0	0
Tablon Marine Fish Sanctuary	Tablon Cagayan de Oro City Misamis Oriental	N/A	null	2015	0	0
Municipal Marine Sanctuary (Napti Island)	Agojo Panay Capiz	N/A	null	2003	0	0
Rosario Marine Protected Area	Muzon I Rosario Cavite   / Kanluran Rosario Cavite   / Bagbag II Rosario Cavite   / Silangan I Rosario Cavite   / Muzon II Rosario Cavite	on-going	null	2013	0	0
Mabuhay Marine Park Sanctuary	Pamansaan Mabuhay Zamboanga Sibugay	Municipal Ordinance No. 0195-2012	null	2012	0	0
Halian Island MPA	null Del Carmen Surigao Del Norte	MO	null	2008	0	0
Decalve Strict Protection Zone	Bintuan Coron Palawan	Mun Ordinance No 38-S 2005	null	0	0	0
Minugbay-Malbato-Tagpi Marine Protected Area	Bintuan Coron Palawan   / Guadalupe Coron Palawan	NA	null	0	0	0
Pical Marine Protected Area	Pical Linapacan Palawan	NA	null	0	0	0
San Agustin Marine Sanctuary	San Agustin Madridejos Cebu	NA	null	0	0	0
Maricaban Marine Sanctuary	Maricaban Santa Fe Cebu	NA	null	0	0	0
Talisay Marine Sanctuary	Talisay Santa Fe Cebu	NA	null	0	0	0
Talisay Fish Sanctuary	Talisay Anda Bohol	NA	null	0	0	0
Bacong Fish Sanctuary	Bacong Anda Bohol	NA	null	0	0	0
Bogo Marine Sanctuary	Bogo Pres. Carlos P. Garcia Bohol	NA	null	2006	0	0
Bonbonon Marine Sanctuary	Bonbonon Pres. Carlos P. Garcia Bohol	NA	null	2006	0	0
Tilmobo Marine Sanctuary	Tilmobo Pres. Carlos P. Garcia Bohol	NA	null	1993	0	0
Sagisi Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	NA	null	0	0	0
Mahanay Fish Sanctuary	Mahanay Talibon Bohol	n.a	null	0	0	0
Mahaba Marine Sanctuary	null Talibon Bohol	NA	null	0	0	0
Poblacion Fish Sanctuary	null Talibon Bohol	NA	null	0	0	0
Masiga Marine Turtle Preservation Area	null null null	MO 146-2013	null	2013	0	0
Tambisaan and Crocodile Reef	null null null	MO 2001-139	null	2001	0	0
Tulubhan Reef	null null null	MO 2001-139	null	2001	0	0
Ilig-iligan Reef	null null null	MO 2001-139	null	2001	0	0
Balinghai Reef	null null null	MO 2001-139	null	2001	0	0
Coral Garden	null null null	MO 2001-139

MO 2002-162

MO 2009-271	null	2001	0	0
Punta Bunga Reef	null null null	MO 271 (2009)	null	2009	0	0
Bunyugan Reef	null null null	MO 271-2009	null	2009	0	0
Sa-id Reef	null null null	MO 2001-139	null	2001	0	0
Lapus-lapus Reef	null null null	MO 2001-139	null	2001	0	0
Malatgao Mangrove Protected Area	null null null	.	null	1	0	0
Lolo Bay MPA Seagrass Core Zone	null null null	.	null	1	0	0
Mantaquin Bay MPA Seagrass Cove	null null null	.	null	1	0	0
Catmon Fish Sanctuary	null null null	-	null	2003	0	0
Sambawan Marine Reserve	null null null	.	null	1997	0	0
Jamorawon Fish Sanctuary	null null null	-	null	2006	0	0
Busali Shell Sanctuary	NA	-	null	2010	0	0
Pinamihagan Fish Sanctuary	NA	-	null	2009	0	0
Villa Felipa Marine Sanctuary	Villa Felipa Magsaysay Misamis Oriental	Barangay Ordinance BO# 4, Series of 1999	null	1999	0.03	0
Twin Island Marine Reserve	Balaytigui Nasugbu Batangas	Resolution No. 2, Ordinance No. 3 Series 1994, Brgy. Resolution No. 2011-011	null	1994	0.05	0
Allegria Sea Turtle Habitat	Santa Brigida Mansalay Oriental Mindoro	Resolution No. 2008-175, Municipal Ordinance No. 2008-40	null	2008	0.5	0
Panukulan Fish Sanctuary 1	null Panukulan Quezon	NA	null	0	0.53	0
Panukulan Fishing Ground Rehabilitation Project	null Panukulan Quezon	NA	null	0	0.87	0
Underwater Paradise (Brgy. Sablayan)	null Romblon Romblon	NA	null	0	0.988	0
Mag- C Marine Protected Area	null Sariaya Quezon	Ordinance #8 series of 2000	null	2000	1	1
Cabungon Marine Reserve	Aguadahan San Jose Northern Samar   / Balite San Jose Northern Samar	Ordinance #44, Series of 2003	null	2003	1	1
Poblacion II AR Project	null Capoocan Leyte	NA	null	0	1	0
Baybay Artificial Reef Project	null Baybay Leyte	NA	null	0	1	0
Salaman Seagrass Sanctuary	null Lebak Sultan Kudarat	NA	null	0	1	0
Bato Artificial Reef Project	null Bato Leyte	Municipal Ordinance MO# 259 & FAO# 178	null	0	1	0
Tolibao Artificial Reef Project	null Capoocan Leyte	NA	null	0	1	0
Naugisan Fish Sanctuary/ Fish Reserve	null Carigara Leyte	Resolution Brgy. Res. No. 18-1994 amended by SB Resolution No. 72-1995	null	1994	1	0
Malinao Marine Sanctuary	null Lila Bohol	Municipal Ordinance MO# CO-001-s-2001	null	2001	1	0
Benolho Artificial Reef Project	null Albuera Leyte	NA	null	0	1	0
Tilmobo Marine Sanctuary	null null Bohol	Municipal Ordinance MO# C-004	null	2006	1	0
Catugasan Marine Sanctuary	Catugasan Lila Bohol	Municipal Ordinance Mun Ord  C-001-2001	null	2001	1	0
Matalom Artificial Reef Complex	null Matalom Leyte	NA	null	0	1	0
Lawaan Marine Turtle Sanctuary	null Laua-An Antique	Resolution Mun. res. No. 52-98	null	1998	1	0
Sanlangan Marine Sanctuary	null Bais City Negros Oriental	Municipal Ordinance Mu. Res. No. 164, 1994	null	1994	1	0
Camflora Fish Sanctuary	null San Andres Quezon	NA	null	0	1	0
Guindaunan East Fish Sanctuary	null Carigara Leyte	Resolution Brgy. Res. No. 41-1994 amended by SB Resolution No. 71-1995	null	1994	1	0
Blasdiot Fish Sanctuary	null Baliangao Misamis Occidental	Resolution MR# 08-s-2001	null	2001	1	0
Culasi Artificial Reef Project	null Capoocan Leyte	NA	null	0	1	0
Magbagacay Seagrass Marine Reserve	Magbagacay Saint Bernard Southern Leyte	Municipal Ordinance No. 2002-66	null	2002	1	0
Marine Turtle Nesting Ground	null Glan Sarangani	NA	null	0	1	0
Guinadiongan Artificial Reef Project	null Capoocan Leyte	NA	null	0	1	0
Old Cawayan Artificial Reef Project	null Tacloban City Leyte	NA	null	0	1	0
Brgy. Tagda Coastal Tree Park	null Hinigaran Negros Occidental	NA	null	0	1	0
Talisay Fish Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance MO# C-004	null	2006	1	0
Tingib Marine Sanctuary	null Pandan Antique	Resolution Brgy. And Mun. Res. (specific number not obtained)	null	1997	1	0
Bonkokan Ubos Marine Sanctuary	null Lila Bohol	Municipal Ordinance Mun Ord  C-001-2001	null	2001	1	0
Balud Artificial Reef Project	null Capoocan Leyte	NA	null	0	1	0
Poblacion I AR Project	null Capoocan Leyte	NA	null	0	1	0
Canmangao Fish Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006	null	1993	1	0
Malibago Seagrass Marine Reserve	Malibago Saint Bernard Southern Leyte	Municipal Ordinance No. 2002-25	null	2002	1	0
Sta. Cruz Artificial Reef Project	null Tanauan Leyte	Municipal Ordinance BO & MO	null	0	1	0
Nagsulay Marine Sanctuary	Nagsulay Lila Bohol	Municipal Ordinance MO# CO-001-s-2001	null	1999	1	0
Karaang Banwa MPA	Urbiztondo Claver Surigao Del Norte	NA	null	2000	1	0
Balingasay River MPA	Balingasay Bolinao Pangasinan	aaa	null	2016	1	1
Samahan ng Mangingisda at Magsasaka para sa Kalikasan - MPA	null Bolinao Pangasinan	aaa	null	2016	1	1
